1995-01-31T00:00:00, Close, 2.10
1995-02-01T00:00:00, Close, 2.09
1995-02-02T00:00:00, Close, 2.12
1995-02-03T00:00:00, Close, 2.17
1995-02-06T00:00:00, Close, 2.19
1995-02-07T00:00:00, Close, 2.19
1995-02-08T00:00:00, Close, 2.17
1995-02-08T00:00:00, Higher High Price Channel, 2.17
1995-02-09T00:00:00, BUY EXECUTED, 2.19
1995-02-09T00:00:00, Close, 2.15
1995-02-10T00:00:00, Close, 2.19
1995-02-13T00:00:00, Close, 2.20
1995-02-14T00:00:00, Close, 2.18
1995-02-15T00:00:00, Close, 2.26
1995-02-16T00:00:00, Close, 2.28
1995-02-16T00:00:00, Lower Low Price Channel, 2.28
1995-02-17T00:00:00, SELL EXECUTED, 2.27
1995-02-17T00:00:00, Close, 2.25
1995-02-21T00:00:00, Close, 2.28
1995-02-22T00:00:00, Close, 2.33
1995-02-23T00:00:00, Close, 2.32
1995-02-24T00:00:00, Close, 2.26
1995-02-24T00:00:00, Higher High Price Channel, 2.26
1995-02-27T00:00:00, BUY EXECUTED, 2.27
1995-02-27T00:00:00, Close, 2.25
1995-02-28T00:00:00, Close, 2.32
1995-03-01T00:00:00, Close, 2.31
1995-03-02T00:00:00, Close, 2.34
1995-03-03T00:00:00, Close, 2.44
1995-03-06T00:00:00, Close, 2.41
1995-03-06T00:00:00, Lower Low Price Channel, 2.41
1995-03-07T00:00:00, SELL EXECUTED, 2.40
1995-03-07T00:00:00, Close, 2.39
1995-03-07T00:00:00, Higher High Price Channel, 2.39
1995-03-08T00:00:00, BUY EXECUTED, 2.39
1995-03-08T00:00:00, Close, 2.41
1995-03-09T00:00:00, Close, 2.43
1995-03-10T00:00:00, Close, 2.44
1995-03-13T00:00:00, Close, 2.45
1995-03-14T00:00:00, Close, 2.46
1995-03-15T00:00:00, Close, 2.43
1995-03-15T00:00:00, Lower Low Price Channel, 2.43
1995-03-16T00:00:00, SELL EXECUTED, 2.43
1995-03-16T00:00:00, Close, 2.46
1995-03-17T00:00:00, Close, 2.47
1995-03-20T00:00:00, Close, 2.49
1995-03-21T00:00:00, Close, 2.54
1995-03-22T00:00:00, Close, 2.44
1995-03-23T00:00:00, Close, 2.36
1995-03-23T00:00:00, Higher High Price Channel, 2.36
1995-03-24T00:00:00, BUY EXECUTED, 2.36
1995-03-24T00:00:00, Close, 2.38
1995-03-27T00:00:00, Close, 2.40
1995-03-28T00:00:00, Close, 2.43
1995-03-29T00:00:00, Close, 2.37
1995-03-30T00:00:00, Close, 2.32
1995-03-31T00:00:00, Close, 2.31
1995-03-31T00:00:00, Lower Low Price Channel, 2.31
1995-04-03T00:00:00, SELL EXECUTED, 2.31
1995-04-03T00:00:00, Close, 2.38
1995-04-04T00:00:00, Close, 2.33
1995-04-05T00:00:00, Close, 2.31
1995-04-05T00:00:00, Higher High Price Channel, 2.31
1995-04-06T00:00:00, BUY EXECUTED, 2.30
1995-04-06T00:00:00, Close, 2.18
1995-04-07T00:00:00, Close, 2.27
1995-04-10T00:00:00, Close, 2.27
1995-04-11T00:00:00, Close, 2.31
1995-04-12T00:00:00, Close, 2.37
1995-04-13T00:00:00, Close, 2.37
1995-04-13T00:00:00, Lower Low Price Channel, 2.37
1995-04-17T00:00:00, SELL EXECUTED, 2.38
1995-04-17T00:00:00, Close, 2.31
1995-04-18T00:00:00, Close, 2.29
1995-04-18T00:00:00, Higher High Price Channel, 2.29
1995-04-19T00:00:00, BUY EXECUTED, 2.28
1995-04-19T00:00:00, Close, 2.24
1995-04-20T00:00:00, Close, 2.21
1995-04-21T00:00:00, Close, 2.22
1995-04-24T00:00:00, Close, 2.25
1995-04-25T00:00:00, Close, 2.20
1995-04-26T00:00:00, Close, 2.15
1995-04-26T00:00:00, Lower Low Price Channel, 2.15
1995-04-27T00:00:00, SELL EXECUTED, 2.15
1995-04-27T00:00:00, Close, 2.31
1995-04-28T00:00:00, Close, 2.26
1995-05-01T00:00:00, Close, 2.23
1995-05-01T00:00:00, Higher High Price Channel, 2.23
